time,lat,lon,PM2.5,PM10,PM1.0,NO2,BC,activity,event
2019-06-12 06:48:01+00,48.83652667,2.529348333,12,13,13,NULL,1509,Domicile,Ouverture De Fenêtre
2019-06-12 06:48:32+00,48.836355,2.529325,12,13,13,NULL,1509,Domicile,Ouverture De Fenêtre
2019-06-12 07:32:02+00,48.83594167,2.530051667,4,4,4,NULL,1105,Rue,NULL
2019-06-12 07:32:33+00,48.83603667,2.52985,4,4,4,NULL,1105,Rue,NULL
2019-06-12 08:16:30+00,48.83648,2.52973,1,1,1,NULL,917,Bus,NULL
2019-06-12 08:23:08+00,48.83635833,2.529766667,1,1,1,NULL,974,Rue,NULL
2019-06-12 08:23:38+00,48.83642,2.52948,1,1,1,NULL,974,Rue,NULL
2019-06-12 08:28:04+00,48.83620333,2.52943,2,2,2,NULL,846,Bureau,Ouverture De Fenêtre
2019-06-12 08:28:51+00,48.83595833,2.529403333,2,2,2,NULL,846,Bureau,Ouverture De Fenêtre
2019-06-12 17:38:07+00,48.82939833,2.315678333,0,0,0,NULL,114,Rue,NULL
2019-06-12 17:38:38+00,48.829615,2.315348333,0,0,0,NULL,114,Rue,NULL
2019-06-12 18:06:18+00,48.83160167,2.313843333,18,20,20,NULL,2198,Métro,NULL
2019-06-12 18:06:49+00,48.83196833,2.313508333,18,20,20,NULL,2198,Métro,NULL
2019-06-12 18:58:25+00,48.826745,2.355156667,0,0,0,NULL,364,Domicile,NULL
2019-06-12 18:58:56+00,48.826745,2.355156667,0,0,0,NULL,364,Domicile,NULL
2019-06-12 19:36:06+00,48.82704667,2.355033333,158,177,177,NULL,666,Rue,NULL
2019-06-12 19:36:37+00,48.82695333,2.354766667,158,177,177,NULL,666,Rue,NULL
2019-06-12 19:41:13+00,48.82690833,2.354735,171,191,191,NULL,4315,Magasin,NULL
2019-06-12 19:41:44+00,48.82677333,2.354881667,171,191,191,NULL,4315,Magasin,NULL
2019-06-12 19:56:00+00,48.82700833,2.354626667,71,77,77,NULL,2158,Rue,NULL
2019-06-12 19:56:31+00,48.82702833,2.35431,71,77,77,NULL,2158,Rue,NULL
2019-06-12 20:09:28+00,48.82687,2.354973333,35,41,41,NULL,1288,Bus,NULL
2019-06-12 20:09:59+00,48.82688667,2.354848333,35,41,41,NULL,1288,Bus,NULL
2019-06-12 20:41:26+00,48.82696833,2.354953333,1,1,1,NULL,473,Domicile,NULL
2019-06-12 20:41:57+00,48.82711167,2.354923333,1,1,1,NULL,473,Domicile,NULL
2019-06-13 16:57:11+00,48.82707167,2.350971667,4,5,5,NULL,807,Rue,NULL
2019-06-13 16:57:41+00,48.82738667,2.350858333,4,5,5,NULL,807,Rue,NULL
2019-06-13 17:19:11+00,48.82708833,2.35463,1,3,3,NULL,592,Train,NULL
2019-06-13 17:19:42+00,48.82685,2.354806667,1,3,3,NULL,592,Train,NULL
2019-06-13 17:39:06+00,48.82708,2.355665,0,2,2,NULL,159,Rue,NULL
2019-06-13 17:39:36+00,48.827085,2.355568333,0,2,2,NULL,159,Rue,NULL
2019-06-15 18:17:05+00,48.87976,2.7105,NULL,NULL,NULL,4,593,Voiture,NULL
2019-06-15 18:17:36+00,48.87976,2.7105,NULL,NULL,NULL,4,593,Voiture,NULL
2019-06-15 19:07:12+00,48.87976167,2.710461667,NULL,NULL,NULL,6,660,Rue,NULL
2019-06-15 19:07:42+00,48.87980333,2.710528333,NULL,NULL,NULL,6,660,Rue,NULL
2019-06-15 21:51:19+00,48.88007833,2.710306667,NULL,NULL,NULL,3,808,Inconnu,NULL
2019-06-15 21:51:50+00,48.88003,2.71048,NULL,NULL,NULL,3,808,Inconnu,NULL
2019-06-16 01:35:04+00,48.82718833,2.354803333,2,2,2,6,207,Voiture,NULL
2019-06-16 01:58:09+00,48.82686167,2.355138333,2,2,2,6,237,Bureau,Fermeture De Fenêtre
2019-06-16 01:58:41+00,48.82699333,2.355326667,2,2,2,6,237,Bureau,Fermeture De Fenêtre
2019-06-16 02:00:12+00,48.82687167,2.355426667,1,1,1,22,176,Domicile,NULL
2019-06-16 02:00:43+00,48.826865,2.355173333,1,1,1,22,176,Domicile,NULL
2019-06-16 15:12:08+00,48.82965667,2.321551667,3,6,6,12,816,Rue,NULL
2019-06-16 15:12:38+00,48.82872833,2.324573333,3,6,6,12,816,Rue,NULL
2019-06-16 15:16:13+00,48.82775667,2.327351667,4,5,5,11,2280,Voiture,NULL
2019-06-16 15:16:44+00,48.82774667,2.329798333,4,5,5,11,2280,Voiture,NULL
2019-06-16 15:43:04+00,48.82523667,2.357896667,29,31,31,26,2545,Parc,NULL
2019-06-16 15:43:04+00,48.82523667,2.357896667,29,31,31,26,2545,Rue,NULL
2019-06-16 15:43:35+00,48.82497667,2.357771667,29,31,31,26,2545,Parc,NULL
2019-06-16 15:43:35+00,48.82497667,2.357771667,29,31,31,26,2545,Rue,NULL
2019-06-17 07:25:48+00,48.83758333,2.530243333,NULL,NULL,NULL,6,783,Rue,NULL
2019-06-17 07:36:25+00,48.83736833,2.530366667,NULL,NULL,NULL,6,746,Métro,NULL
2019-06-17 07:36:56+00,48.83745,2.53018,NULL,NULL,NULL,6,746,Métro,NULL
2019-06-17 08:05:05+00,48.83734833,2.529475,NULL,NULL,NULL,5,785,Rue,NULL
2019-06-17 08:05:36+00,48.83731,2.529691667,NULL,NULL,NULL,5,785,Rue,NULL
2019-06-17 08:17:55+00,48.83843333,2.53061,NULL,NULL,NULL,6,750,Parc,NULL
2019-06-17 08:17:55+00,48.83843333,2.53061,NULL,NULL,NULL,6,750,Rue,NULL
2019-06-17 08:22:35+00,48.834955,2.529483333,NULL,NULL,NULL,7,767,Bureau,Ouverture De Fenêtre
2019-06-17 16:55:26+00,48.82654167,2.354441667,3,3,3,8,700,Rue,NULL
2019-06-17 16:55:57+00,48.82674667,2.354666667,3,3,3,8,700,Rue,NULL
2019-06-17 17:19:09+00,48.82609167,2.354401667,2,2,2,10,697,Rue,NULL
2019-06-17 17:19:40+00,48.82614833,2.354426667,2,2,2,10,697,Rue,NULL
2019-06-17 17:21:13+00,48.82632,2.354611667,2,2,2,7,704,Train,NULL
2019-06-17 17:21:43+00,48.82636667,2.354463333,2,2,2,7,704,Train,NULL
